disease_index,related_drug_indices,related_drug_num
29078,"15794, 14269, 15324, 14242, 14262, 15816, 20449, 15987, 14509, 15982, 14934, 14194, 20450, 17831, 15986, 14206, 14158, 14024, 20239, 20451, 14419, 14219, 15781, 14030, 14028, 15003, 14042, 14320, 14407, 17601, 14273, 14175, 15887, 14227, 14204, 14019, 15563, 14191, 14274, 17883, 17584, 15989, 14197, 14183, 14062, 14238, 16758, 14278, 15984, 14340, 17583, 16226, 17585, 15101, 14600, 14287, 14061, 17398, 14390, 15269, 14023, 20452, 15860, 16802, 20453, 15662, 15666, 14347",68
33577,"16687, 20297, 16693, 14944, 15762, 14836, 14421, 14835, 16214, 14327, 14255, 16694, 20301, 14846, 16699, 14152, 16690, 16698, 14200, 15426, 15108, 17278, 14762, 14308, 14984, 15451, 15175, 14946, 15079, 16303, 14317, 15580, 17647, 16793, 14276, 15245, 15186, 14133, 14959, 17344, 19223, 14809, 17308, 16854, 14217, 14196, 14212, 14168, 15105, 14142, 15304, 14938, 14271, 14163, 14582, 14198, 17304, 15789, 20307, 15295, 14547, 15855, 15153, 14202, 20310, 14331, 14792, 14162, 15480, 15095, 14240, 14691, 16215, 14301, 14539, 20316, 17148, 15609, 14869, 15505, 15221, 14605, 15836, 20319, 14282, 15769, 15133, 14233, 16788, 16210, 14763, 15629, 14369, 14731, 14215, 16697, 15632, 20325, 14965, 16689, 14953, 20596, 16853",103
36035,"16687, 20297, 16693, 14944, 15762, 14836, 14421, 14835, 16214, 14327, 14255, 16694, 20301, 14846, 16699, 14152, 16690, 16698, 14200, 15426, 15108, 17278, 14762, 14308, 14984, 15451, 15175, 14946, 15079, 16303, 14317, 15580, 17647, 16793, 14276, 15245, 15186, 14133, 14959, 17344, 19223, 14809, 17308, 16854, 14217, 14196, 14212, 14168, 15105, 14142, 15304, 14938, 14271, 14163, 14582, 14198, 17304, 15789, 20307, 15295, 14547, 15855, 15153, 14202, 20310, 14331, 14792, 14162, 15480, 15095, 14240, 14691, 16215, 14301, 14539, 20316, 17148, 15609, 14869, 15505, 15221, 14605, 15836, 20319, 14282, 15769, 15133, 14233, 16788, 16210, 14763, 15629, 14369, 14731, 14215, 16697, 15632, 20325, 14965, 16689, 14953, 20596, 16853",103
36209,"15794, 14242, 14262, 15987, 14509, 19198, 20450, 17831, 15986, 14158, 14419, 14219, 15412, 15781, 14175, 14227, 20571, 14204, 14191, 20572, 15989, 14515, 20573, 14197, 15078, 14183, 14062, 14238, 15329, 14278, 15984, 14340, 15101, 14600, 14287, 14061, 14390, 14188, 15326, 18687, 14318, 20203, 15322, 15180, 20250, 14797, 14333, 20407, 20249, 14980, 15504, 20412, 20413, 20414, 20235, 14332, 20481, 14545, 14195, 14172, 14185, 15775",62
37888,"20157, 20294, 15210, 15122, 20295, 17252, 15660, 14249, 17258, 16066, 16490, 17243, 15064, 17229, 14266, 14269, 17256, 15783, 17245, 14020, 14950, 17246, 16306, 20302, 15089, 20458, 14262, 14960, 14193, 15500, 14159, 14881, 14983, 15098, 14783, 14591, 14018, 15586, 14024, 20463, 14034, 16063, 14942, 14030, 14028, 15003, 14042, 14320, 17233, 17232, 17230, 14038, 15460, 14019, 16331, 14014, 20464, 14336, 15260, 17259, 17235, 18755, 14599, 15241, 15086, 14898, 17241, 20321, 14990, 17231, 14381, 15877, 14036, 15104, 15132, 15171, 14023, 19700, 14232, 15251, 20326, 20465, 15511, 14154, 17237, 14295, 14607",87
39609,"15763, 16490, 15089, 15579, 15104, 20148, 20157, 15210, 15122, 20295, 17252, 14249, 17378, 17258, 17243, 17341, 17229, 17256, 15783, 17245, 14950, 17246, 16306, 20302, 20218, 14881, 15098, 14783, 14591, 16851, 16063, 14942, 17230, 20550, 15460, 16331, 14745, 14336, 17235, 20551, 15086, 16846, 14898, 17241, 20321, 14990, 15877, 15132, 15171, 20323, 17242, 20326, 17237, 18312, 20204, 14201, 15180, 14167, 18313, 15476, 14311, 14288, 14230, 15425, 20409, 14773, 20411, 15504, 20206, 14291, 20422, 15456, 16867, 15914",74
83791,"20157, 20294, 15210, 15122, 20295, 17252, 15660, 14249, 17258, 16066, 16490, 17243, 15064, 17229, 14266, 14269, 17256, 15783, 17245, 14020, 14950, 17246, 16306, 20302, 15089, 20458, 14262, 14960, 14193, 15500, 14159, 14881, 14983, 15098, 14783, 14591, 14018, 15586, 14024, 20463, 14034, 16063, 14942, 14030, 14028, 15003, 14042, 14320, 17233, 17232, 17230, 14038, 15460, 14019, 16331, 14014, 20464, 14336, 15260, 17259, 17235, 18755, 14599, 15241, 15086, 14898, 17241, 20321, 14990, 17231, 14381, 15877, 14036, 15104, 15132, 15171, 14023, 19700, 14232, 15251, 20326, 20465, 15511, 14154, 17237, 14295, 14607",87
83897,"20148, 20157, 20294, 15210, 15122, 20295, 17252, 14249, 17378, 17258, 16066, 16490, 17243, 17341, 17229, 17256, 15783, 17245, 14950, 17246, 16306, 20302, 15089, 14193, 20218, 14159, 14881, 15098, 14783, 14591, 16851, 16063, 14942, 17233, 17232, 17230, 15460, 16331, 14336, 14238, 17235, 15086, 16846, 14898, 17241, 20321, 14990, 15877, 15104, 15132, 15171, 20323, 17242, 20326, 17237, 15868, 14262, 15781, 14157, 14154, 20485, 18312, 20204, 20248, 14288, 14773, 15504",67
83912,"20294, 15210, 15122, 20295, 17252, 14249, 17258, 17239, 16066, 16490, 17243, 17229, 14266, 14754, 17256, 15783, 17245, 15118, 14950, 17240, 19551, 15774, 15180, 20458, 16323, 14960, 14193, 14295, 14881, 14983, 14607, 15098, 14942, 14030, 14028, 15003, 14320, 17233, 17232, 17230, 14017, 15460, 17236, 20418, 14336, 14016, 15260, 17235, 18755, 15086, 14898, 17251, 17241, 14990, 17231, 15877, 17247, 14232, 20326, 20465, 17237, 20555",62
83913,"20294, 15210, 15122, 20295, 17252, 14249, 17258, 17239, 16066, 16490, 17243, 17229, 14266, 14754, 17256, 15783, 17245, 15118, 14950, 17240, 19551, 15774, 15180, 20458, 16323, 14960, 14193, 14295, 14881, 14983, 14607, 15098, 14942, 14030, 14028, 15003, 14320, 17233, 17232, 17230, 14017, 15460, 17236, 20418, 14336, 14016, 15260, 17235, 18755, 15086, 14898, 17251, 17241, 14990, 17231, 15877, 17247, 14232, 20326, 20465, 17237, 20555",62
